Sender,Message
SINHA,Oh okk
Sowmya,A music a movie lo thelusaaa
SINHA,Leydhu Sowmya teliadhu
Sowmya,Sare
Sowmya,Nenu kanukuntale
SINHA,Hmm ok
Sowmya,https://youtube.com/shorts/N5q21-arZk8?feature=share
Sowmya,Kal Ho song
SINHA,Hmm nyc
SINHA,Inkaa aa music vinaka nenu enduku gurtu vachano chepale
Sowmya,Aa abbai inka msg choodaledhu
Sowmya,Are..nakem thelusu
SINHA,Sare sare
Sowmya,Hmmchh andhuke Anni cheppakoodadhu
Sowmya,Nenu choosi rasina oka pedhaaa pdf vundhi andhulo choosi rasukuntava
SINHA,🫡🫡
SINHA,Parley record dhi pettakanu adhey rasta
Sowmya,Late ayyidhemo ga
SINHA,Adhi Monday night nak telisi... 😁
Sowmya,Enti start chesedha
SINHA,Haa
Sowmya,Choosava already decide ayyav
Sowmya,Inka nenu cheppi em use cheppu
SINHA,Ha Tuesday kada mari s
Sowmya,25th na DAA assignment 1 submit cheyali anta
SINHA,Cheppadam kadhu Sowmya... Record eechi vuntey kali vunappudu raseysta ga
SINHA,Edhi okati madyalo
Sowmya,Aina nuvve ga chaitanya ki ichindhi
SINHA,Nv eevi aanavaney eecha
Sowmya,Normal ga choodadaniki
Sowmya,Next needhi ayipoindha aninadigadu ga
Sowmya,Ayipoindhi ani cheppav
Sowmya,Theesukelladu
SINHA,Enti.... 🙄
SINHA,4 eh rasa ani teliadha
Sowmya,Boontii
Sowmya,Ninnu adigadu koodaaa
Sowmya,Thamaru class lo pedithenega mind
SINHA,Sarele
Sowmya,Naku thelusu sinhaa
Sowmya,Mari ninnu adigadu kadga
Sowmya,Nv ayipoindhi ani cheppagane nenu shock ayyi
Sowmya,Munchuku vachi enti ayipoindha ani kooda adiga
SINHA,Hm hm avunu
SINHA,Adhi na record anna andukey
Sowmya,Nijanga gurthundha?🙄
Sowmya,Ala anadam kadhu pichi🤦‍♀️
Sowmya,Nadhi inka rasukovadam ayipoledhu ani cheppali
SINHA,Ha adhele nee record meeda na peru rasukona ga
SINHA,Anduku aipoyindhi anna... 😐😅
Sowmya,Antav antav
Sowmya,Ippudu choodu em aindho
SINHA,Sarele ippudu ame ayyindhi kastha late avutundhi anthey ga
Sowmya,Haaaaa
Sowmya,Nakem problem ledhule Sowmya
Sowmya,Antav anthega
SINHA,Avunu le nakey ga problem... 🙄
Sowmya,Aha...
Sowmya,Adhi nv cheppe dialogue
SINHA,Oh okk... 😅
Sowmya,Hmm
Sowmya,Anni bhale ardham chesukuntav le
SINHA,Sowmya.... Sowmya... Sowmya ... 😂
Sowmya,Nenu anali Ila 
SINHA,Hmm Anu mari
Sowmya,🤣🤣
Sowmya,Ayyo...sinha...sinha...
Sowmya,Chala
SINHA,😅
SINHA,Chaalu le.... Paiki aneystey bagodhu malli intlo
Sowmya,😱
Sowmya,Bane vundidhile
SINHA,Aha...
Sowmya,Naku bane vundhi
Sowmya,Valla kemo kani
SINHA,Haha ... Sare sare
Sowmya,Nee bad luck aa abbai ento inka msg choodala
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,Ee 2...13th question ki answer
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,Prasthuthaniki ivi rayi 
SINHA,Ok Sowmya....
Sowmya,Ok Sowmya....
SINHA,😁
Sowmya,😁
SINHA,Thinnnava
Sowmya,Thinnnava
SINHA,Leydhu inkaa
Sowmya,Leydhu inkaa
SINHA,Sare tinu velli
Sowmya,Sare tinu velli
SINHA,Ok mari
Sowmya,Ok mari
SINHA,🤨🤨
Sowmya,🤨🤨
SINHA,🤧🤧
Sowmya,🤧🤧
SINHA,🤒🤒
Sowmya,🤒🤒
SINHA,You deleted this message
Sowmya,Fever ani chepthuna Sowmya...
SINHA,Bye
Sowmya,Hey heyy
Sowmya,Mari enti sinha nuvvuuu
Sowmya,Nijanga fever aaa???
SINHA,Leydhu tagipoyindhi
Sowmya,Eppudu vachindhi
SINHA,Ippudu
Sowmya,Heyy nijam cheppu abba
Sowmya,Fever vundha ledha cheppu
SINHA,Leydhu Sowmya nrml ga aana baney vunna
Sowmya,🙄
Sowmya,Nijanga ledhuga
SINHA,Endaka ala anipichindhi endukoo
Sowmya,Vontlona....
SINHA,Haaa
Sowmya,Ippude ledha
Sowmya,Adenti indhaka vundadam ippudu lekapovadam
SINHA,Emo Sowmya chudali mrng ki amaina effect vuntundhi emo ani
Sowmya,Aithe ippude tablet vesuko
Sowmya,Ninna...uppalapadu velli vachav ga
Sowmya,Thirigesariki vachi vuntadhi naku thelusi
SINHA,Nek ela telisindhi
SINHA,Veysukonta
Sowmya,Nuvve cheppav ga
Sowmya,Hmmm
Sowmya,Nv cheppakapoina 😒🙂
SINHA,Appudu Sowmya ninna msg cheyale ga
SINHA,Ha nyc.... 🤗
Sowmya,Em nyc vundhi andhuloooooooo
SINHA,Cheppakapoyina telustundhi aanav ga
SINHA,But how sowmyaaa
Sowmya,Aditya cheppadu sinha
Sowmya,Nakem powers levule
SINHA,Haha ok .... 😅
Sowmya,Take care and rest
Sowmya,Bye
SINHA,Ok Sowmya .. Gud night
Sowmya,Good night
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,Ardhamkaka pothe cheppu
SINHA,Sowmyaaa....
Sowmya,Ha
Sowmya,Ardham kaledha?
SINHA,Avutundhi kani ippudu rayali Ane leydhu
Sowmya,👏
SINHA,😁
Sowmya,Anosaranga papam chalaa sarlu adiganh
SINHA,Avuna... Vadiney pdf cheysi pampamanachu ga
Sowmya,Aa abbai ne adigindhj
Sowmya,Ninnati nunchi bayata oorilo vunnaru
SINHA,Oh ok
SINHA,Sare repu record teesukonta
Sowmya,Hmm
SINHA,Tnq sowmya
Sowmya,Welcome sowmya
Sowmya,Fever thaggindha
SINHA,Ha parleydhu Sowmya... Bane vunanu
SINHA,Fever ame leydhu.weak ga  anipichindhi anthey
Sowmya,Repu vasthava clg ki
SINHA,Ha vasthanu.. Nv?
Sowmya,Vastha
SINHA,Ha ok
Sowmya,DAA assignment
Sowmya,Rasuko
SINHA,Rayale Sowmya... 😐
Sowmya,Nen kooda rayala
Sowmya,Neeku thoduu
SINHA,😃🤩🤩
Sowmya,Kadhule naku rayali anipinchala endhuko
Sowmya,Koncheme rasa
Sowmya,1 and half
SINHA,Oh ok appudu submit cheyali
Sowmya,Ee rojena
Sowmya,Roje*
SINHA,Saripoyindhi
Sowmya,Afternoon ravali anipinchaledha
SINHA,Health bale ga Sowmya..... Chaala chali veysindhi andukey rale
Sowmya,😐
Sowmya,Ippudu thaggindha
Sowmya,Aithee repu holiday Prettu
SINHA,Leydhu sowmya ippudu parvale konchem
Sowmya,Afternoon varikega repuu
Sowmya,Sarele ra
Sowmya,Lab lo padukovachu
SINHA,😅... Ok
Sowmya,Ee roju ES period lo haayiga padukoni poyav
SINHA,Ha full ga...
SINHA,Bale pateysindhi
Sowmya,Hmm
Sowmya,Sare mari
Sowmya,Paduko
Sowmya,Bye
SINHA,Nv padukontunava?
Sowmya,Lights off chesa
Sowmya,Works em lev
Sowmya,Naku lyte ga headache
Sowmya,So...
Sowmya,Phone update petti
Sowmya,Ala...padukunna anamata
SINHA,Ame Sowmya nek ame ayyindhi
Sowmya,Lab lone start aindhi naku
Sowmya,Mari...bharincha lenantha kadhu
Sowmya,Koncheme
SINHA,Oh ok
SINHA,Inaa mavvutaney vuntav ga eevala navvaleyda
Sowmya,Hahaha
Sowmya,Ee roju evaru leru lab lo
Sowmya,Manoj koodaa...baledhu ani atu itu thirigi 
Sowmya,Naku first nidhrochindhi
Sowmya,Next headache start aindhi
Sowmya,Pakkaki vishnu vachindhi
Sowmya,Ee roju em navvukola
SINHA,Ha adhi vishyam leykapothey nek headache enti
Sowmya,Bagundhi chala bagundhi
Sowmya,Mavvithe headache radhaa???
Sowmya,😱
SINHA,Raadhu anduku vastundhi
SINHA,Stress leykunda peaceful ga vuntey ela vastundhi
Sowmya,Stress em ledhu
SINHA,Hmm sarele paduko
Sowmya,Padukovadam antee
Sowmya,Eyes close cheyakunda padukunta
Sowmya,Silent ga
Sowmya,Oka 20 min aagi
Sowmya,Inka padukunta
SINHA,Eyes close cheyakunda antey.... Phone chustuna
Sowmya,No
Sowmya,Phone choosthee inka ekkuva avuthadhi gaaaa
Sowmya,Edokati alochisthaa vunta😅🤣
SINHA,Ha anthey ga mari
Sowmya,Ala ala eppudu nidhrapothano nake thelidhu
SINHA,Ok nee alochanalani nenu disturb cheyanu.... Alochinchukoni ame alochinchavo rep cheppu
Sowmya,Ala chepparu🤣
Sowmya,Ippudu padukunte...naku 9hrs 30 min sleep
SINHA,Okk
Sowmya,Pooji gurthu vasthe mathrammm
Sowmya,Easy....ga 40 min alochisthaa
Sowmya,School lo ala chesevallam Ila vundevallam ani
Sowmya,Appudu kachitanga alochinchindhi dream lo vasthadhi
SINHA,Hmm nyc
SINHA,Ippudu evaru vastunaru mati
Sowmya,🤭
Sowmya,Ippudu aithe ekkuva
SINHA,Haa
Sowmya,Nuvvu aditya vastharu
Sowmya,Aditya ki chepthee
SINHA,Haa
Sowmya,Maa meedha nee dreams lo oka universe a vundhiga antadu
SINHA,Hmm anthey ga... 😂
SINHA,Ame alochistav Sowmya maa gurinchi
Sowmya,Nenu alochinchakapoina ala vasthai
Sowmya,Em alochisthaa
Sowmya,Aditya tho antee
Sowmya,Ekkuvuga chat chesthaa
SINHA,Hmm avunu
Sowmya,Aa chat chesedantlo Mee gurinchi matladithee
Sowmya,Ala vasthai inka
SINHA,Naa gurinchi anthala matladatara
Sowmya,😅
Sowmya,Anthaa antee...edokati vuntai gaa
Sowmya,Neeku fever anta ani cheppa
Sowmya,Madhyan clg ki rala ani cheppa
SINHA,Hmm
Sowmya,Chaliga vundhi ani raledhu anta ani cheppa
Sowmya,Inka alaaa
Sowmya,Msg chesthe
Sowmya,Single tick a vasthundhi ani cheppa
Sowmya,🤣
Sowmya,Repu mng isthadu inka reply ani cheppa
SINHA,Sare padukoney mundhu ame alochistavo inka cheppale
Sowmya,Saripoindhi
Sowmya,Alochanemo kanii
Sowmya,Nenu feel ayyi padukunta
SINHA,Hmm
Sowmya,Deniki nakooda thelidhu🤷‍♀️
SINHA,Amani?
SINHA,Ok ok ekkuva adigi eebandhi petanu le
Sowmya,Abba ...
Sowmya,Emani antee
Sowmya,😂
Sowmya,Edokati feel ayyii
Sowmya,Ninnu inka kadilincha koodadhu anukunta
Sowmya,Kani..chakkaga kadhilistha
SINHA,Eedhi highlight inkeppudu kadilincha koodadhu anney na
Sowmya,Eppudu anteee
Sowmya,Bagaaa necessary aithene
Sowmya,Kadhilinchali
SINHA,Haha andukoo alaa
Sowmya,'cause u r busy
Sowmya,Panuluntai kadhaa ani
Sowmya,Kani
Sowmya,Okappati tho polistheeee
SINHA,Lab lo ela matladali ani nenu choosta... Chatting ela matladali nv choostav
Sowmya,Oka 1 month nunchii
Sowmya,Chaalaa ante chalaa change ayyav
Sowmya,Matladuthunnav
Sowmya,😂🤣
SINHA,Cause u r busy in lab too....
Sowmya,Habbaa
Sowmya,Nenu eppuduu freee
Sowmya,Msg chestgeee
Sowmya,Reply eppuduu vasthundha ani
Sowmya,Chaala sarlu choosthaa
Sowmya,Antha free nenu
Sowmya,Oka sari...fresh ayyi vachanu
Sowmya,Actual ga aa roju omlet vesukundham ani anukunna
Sowmya,Daniki mundhu nee msg choosanu
Sowmya,Hi Sowmya ani annav
SINHA,Haa
Sowmya,Fresh ayyi vachi free ga chat chedham le ani nenu msg open cheyala
SINHA,Hm
Sowmya,Tharuvatha Inka omlet vesukokunda 
SINHA,Sowmyaa...sowmyaa...Sowmya....😅
SINHA,Appudu ayyindhi sowmya eedhi
Sowmya,Last month lono..mari ee month starting ooo
Sowmya,Aditya ki kooda cheppa🤣
Sowmya,Mari omlet vesthe late avuthadhi kadhaa
Sowmya,Inka naki omlet a vesukonudhi kala
SINHA,Haha
SINHA,Omlet eestama somwyaa
Sowmya,Ishtama anteee
Sowmya,Naku edhoo fav kadhu
Sowmya,Edhoo thinali kabatti thinta
Sowmya,Even non veg kooda
Sowmya,Asalu pieces a thinanu
Sowmya,Max 2 pieces
Sowmya,Normal ga vesukundham anukunna le mundhu
Sowmya,Konni vuntai
Sowmya,Ivi fav
Sowmya,Cauliflower
Sowmya,Ivi koodaa full ga em thinanu
SINHA,Hmm ok ... Na kosam omlette sacrifice cheyseysava ani.... 😅🤗
Sowmya,Haa
Sowmya,Mari..laguthadhi
SINHA,Chicken with curd ... Nyc
Sowmya,Eppudu reply idhama ani
Sowmya,Super asalu
Sowmya,Intlo curd ayipothe
Sowmya,Chicken vuntw
Sowmya,Thinedhanni hand wash chesi
Sowmya,Velli koni marii thinta
SINHA,😅... Eesari nenu try cheysta le
Sowmya,Enti
Sowmya,Chickent with curd aa
SINHA,Yeah
Sowmya,Adenti baguntadhi annav gaa
SINHA,Leydhu... Nenu eppudu try cheyale... Cheyali ani nyc anna
Sowmya,Ohooo
SINHA,Haa
Sowmya,Evaraina naa fav dish ante
SINHA,Hmm
Sowmya,First adhe gurthochindhi naku
SINHA,Ha
Sowmya,Sare mariii
SINHA,Padukontava
Sowmya,Ha
SINHA,Sare gud night
Sowmya,Good night
SINHA,You deleted this message
Sowmya,Hi
Sowmya,Endhuku delete chesav?
SINHA,Ame leydhu nv insta lo busy vundey sariki disturbance anduku ani cheyseysa
Sowmya,😑
Sowmya,Marii asalu
SINHA,Hehe... 😒
Sowmya,Enti aa emoji
Sowmya,Nenu pettalsina emoji nv pettav enti sinhaa
SINHA,Chatting aipoyinda insta lo
Sowmya,Ha
Sowmya,Aina..okkalthone chat chestha ani emanna board pettana
SINHA,Ha leydhu le busy emo ai delete cheysa nathey
Sowmya,Inkokka sari delete cheyamaku
SINHA,Sare sare
Sowmya,Hmm
SINHA,Ha
Sowmya,Delete chesina msg
Sowmya,Sowmyaa...
Sowmya,Ano msg chesava
Sowmya,Ani*
SINHA,Nek ela telusu?
Sowmya,🙄
Sowmya,Eppudu adhega sinha
Sowmya,Msg chesedhi
SINHA,Oh okk
Sowmya,Pani chesuko
SINHA,Ha?
Sowmya,Pani edho vundhi anipinchindhi
Sowmya,Andhukke ala anna
SINHA,Leydhu vadu birthday kada
SINHA,Kontha shopping vuntey vella
SINHA,Nv pani chesuko
Sowmya,🤣🤣🤣🤣
Sowmya,Okka sariga baaga navvochindhi
Sowmya,Em konnav
SINHA,Eggs and flour
Sowmya,Haa
SINHA,Haa
Sowmya,Cake chesthunnara entiiiii
SINHA,Leydhey vadiki kotadaniki... 😂
SINHA,Cake already cheysindhey
SINHA,Tepistunam
Sowmya,Nice ra
Sowmya,Hmm
Sowmya,Enti
SINHA,Ahha ntg
Sowmya,🙄
Sowmya,Cheppu parledhu
SINHA,Ame leydhu sowmya
Sowmya,Shh
Sowmya,Visikinchamaku sinha
Sowmya,Ento cheppu
SINHA,Amaindhi ani
Sowmya,Daniki react ayyav VA
Sowmya,Ga*
Sowmya,🙄
Sowmya,Ila
SINHA,Ame leydhu nrml ganey ayya
Sowmya,😕😐😑🥺
SINHA,Enti sowmya... Nvey🙄😅
Sowmya,Aapu sinha asalu
Sowmya,Naku emm ardham kakapothe edupuvachidhi asaluu
SINHA,Avuna Sowmya sare sare
SINHA,Nak edipinchadam eestam le... 😅
Sowmya,Matalu ravatla naku
SINHA,Vammoo
SINHA,Saradaga anna sowmya
SINHA,Serious ga teesukoku
Sowmya,Sare
SINHA,Ha
SINHA,Hlo?
Sowmya,Haa
SINHA,Enti sowmya feel ayyava
Sowmya,Deeniki sinha
SINHA,Nv ame avvale ga ani
Sowmya,Nenu repu vadhama ledha ani thinking
Sowmya,Ledhu
SINHA,CN class mari
Sowmya,Vachi na vinedhi
Sowmya,Em vundadhu
Sowmya,Pothe poindhi class
SINHA,Sare poni evaru cheptey vastav
Sowmya,Idhem question
Sowmya,Akkada chala mandhi vuntaru
Sowmya,Andhuke ravali anipinchatla naku
SINHA,Ha vundadam antey evaru mana class Valle ga
Sowmya,Haa vallee
SINHA,Nee pakkana memey ga vundedydhi
Sowmya,Haa
SINHA,Eevala lab lo matladam ani vacha
SINHA,Vellipoyav nvey
Sowmya,Ala vunte asalu nachadhu
Sowmya,Nice joke
SINHA,Nijam sowmyaa
Sowmya,Nenu vellaka vachav
SINHA,Nakem telusu system pani cheystundhi vastav emo anukona
Sowmya,Nenu vadham anukunna
Sowmya,Nv vachav anii
Sowmya,Inka akkade koorchunnaa
SINHA,Choosava
SINHA,Neekey leydhu matladali ani
SINHA,Sarele
Sowmya,Antha ledhu
SINHA,Hehe
Sowmya,Mariii
Sowmya,Pakkane
Sowmya,Vunte
SINHA,Ha
Sowmya,Em matladatham cheppu
SINHA,Sare rep ra cheptanu
Sowmya,😅
Sowmya,Sare repu nee pakkane koorchunta
Sowmya,Choodu
Sowmya,Emm matalu vundav
Sowmya,Nv edhi thinte nenu kooda adhe thinta
SINHA,Mothaniki fix ayyav ga ravali ani
Sowmya,Haa vasthaa
Sowmya,Kani
Sowmya,Aditya kosam ravadame
Sowmya,Naku aithee ravalani ledhu
SINHA,Ha anthey ga mari
Sowmya,Entole
SINHA,Hmm...?
Sowmya,Em ledhu
SINHA,Parle cheppu
Sowmya,...
SINHA,Sarele
Sowmya,Hmm
SINHA,Ha
Sowmya,...
SINHA,Enduku alaa
Sowmya,Sare vadhu ante cheppu
Sowmya,Dinesh cheppindhi thinta
SINHA,Adhi nee estam Sowmya... Nenu ela cheptanu
Sowmya,...
SINHA,😐
SINHA,Naku ravatle...
SINHA,Sare chicken with curd tindam ok
Sowmya,Hahaa
SINHA,Hmm
Sowmya,Vadhule malli neeku nachaka pothe??
SINHA,First try cheysteney ga teliseydhi
Sowmya,Haa
Sowmya,Kani.....
SINHA,Hmm kani
Sowmya,Oka vela nachakapothe?
Sowmya,Sare sare
SINHA,Nee taste antha bad kadhu anukontuna...
SINHA,Nachakapoyina parvale ninnu ame annanu le
Sowmya,Nachuthundhi lee
Sowmya,<Media omitted>
Sowmya,Avunu avunu
SINHA,Hmm
SINHA,Sowmyaaa ekkada
Sowmya,Intlo
SINHA,Vastunav ga
Sowmya,Ha
SINHA,Ha
SINHA,U ok?
Sowmya,Ha
SINHA,🙄.. ok
Sowmya,Nijanga ok sinha
SINHA,Ha ithy ok
SINHA,Intlo telisina parleyda bayataki veltunav antey?
Sowmya,Ela thelusthundhi
Sowmya,Cheppu
Sowmya,Afternoon kooda classes vunnai
Sowmya,Mundhe chepthe lunch prepare chestharu
Sowmya,Andhukani vache mundhu cheppi vacha
SINHA,Hmm nek tarvata problem kakudadhu ani anthey
SINHA,Nv mundhey prepare avi vuntey well and good... Ur most welcome
Sowmya,Avvadhule
SINHA,Ok
Sowmya,Hmm
SINHA,Hi
Sowmya,Hi
SINHA,Chepu sowmya
Sowmya,🤣🤣
SINHA,Adhi navvu okasari elaa choostanu
SINHA,Kastha paiki chudu sowmyaa
SINHA,Aa phone inaa paina pettu
SINHA,Hmm
SINHA,Ekkava bus
Sowmya,Haaa
Sowmya,20 min ki intlo vunta
SINHA,Okk
Sowmya,Msg chesav ga😅
Sowmya,Haa vachesa
SINHA,Ok
SINHA,Ha
SINHA,Hi
Sowmya,Hi
Sowmya,Padukunna sinha
SINHA,Avuna le somwya clg ki time ayyindhi
SINHA,Gud mrng
Sowmya,Parvaledhu ravatledhu le
Sowmya,Good morning
SINHA,Avuna... Amaindhi sowmya
Sowmya,Joke
Sowmya,Nv joke vesav ga andhuke
Sowmya,Nenu cheppindhi 
SINHA,Hey bagundhi
SINHA,Inkosariki veyamaku
Sowmya,Sare🤣
Sowmya,Avunaaa
SINHA,Haa
Sowmya,Antee inkonchem vadhili pettadam ani anukunna
SINHA,Kadhu le
Sowmya,😅
Sowmya,Saripoindhi
SINHA,Haa
Sowmya,Ippudu 3rd time vintunna aa song
Sowmya,Chinmai voice baguntadhi a a song lo aina
SINHA,Hmm ... Ok
SINHA,Nenu malli vinali aasalu tune kuda gurtu ravatle.... 😐
Sowmya,🤣🤣🤣
Sowmya,Inka endhuku lateee
Sowmya,Start cheyi
Sowmya,Vinadam
SINHA,Vinta vinta
SINHA,Horror stories vintuna present aipoyaka vinta
Sowmya,Baboiii
Sowmya,Ivanni ela interest asaluu
Sowmya,Nenu telugu movies kodaaa choodatla anthagaaa
SINHA,<Media omitted>
Sowmya,Shinchan anu doramon choosthunna
Sowmya,Nenu asalu Telugu thapoa xtra emmm choodanu
SINHA,Haa ok
Sowmya,Easyyy ga dreams vasthai inka naku
SINHA,Enti photo key?
Sowmya,Oke roju 4 dreams kooda vasthaii
Sowmya,Noo neela choosthee
Sowmya,Chalaaa easy ga vasthai
SINHA,Hmm
Sowmya,Sare mariii  free ga chat chesthunnav sinhaa
Sowmya,Antee msg pettina ventanee
SINHA,Hmm
Sowmya,Blue ticks
SINHA,Mid night kadha panulu ame vuntayi le ippudu
SINHA,Cheppu
Sowmya,😅
Sowmya,Nenu indhaka nunchi adhe choosthunna
Sowmya,Msg pettina ventane blue ticks vasthunnai ani
Sowmya,Chat ala open chesii chat chesthunnav kadhaa
Sowmya,Edhuru laptop vundhi anukoo
SINHA,Ha
Sowmya,Inka emundhii
Sowmya,Indhaka chppanu aditya ki
Sowmya,Break lo pakkana koorchunnadu
SINHA,HMm
Sowmya,25th  na  intiki velthunnav anta kadha endhuku ani adigithe
Sowmya,Intlo function vundhi ani card choopinchadu
Sowmya,Telugu chadavadam vacha ani adigadu
Sowmya,Ani chepthee
SINHA,😂😂
Sowmya,Abba marii annadu
SINHA,Ayyo sowmya
Sowmya,Mistake chadivanu aditya antee
Sowmya,Gali theesesav kadha Sowmya nadhi ani annadu 
Sowmya,Endhukante...marii annadu ga
Sowmya,Andhuku
Sowmya,Ardham aindha
SINHA,Ha ha ardam ayyindhi
Sowmya,Okk
Sowmya,Dinesh valla room lone vunnada
SINHA,Ha
Sowmya,Hmm
Sowmya,Repu thestha pakka Biscuit packet🤭
SINHA,Matladukontunaru ga
Sowmya,Haa
SINHA,Nv Naku direct ganey eevi
SINHA,Evari cheyta eepinchaku bagodhu.... 😐😅
Sowmya,Sare sare
Sowmya,Roju Bible em chaduvukovu gaa
SINHA,Nena
Sowmya,Ha
SINHA,Chaduvukontanu
Sowmya,Everyday?
SINHA,Haa
Sowmya,Naa kante nv chalaaaa better sinhaa
SINHA,Nv chadavatle
Sowmya,😐
Sowmya,Nenu roju chadavanu thelusa
SINHA,Hmm alavatu cheysukovali
Sowmya,11 Samuel varaku
Sowmya,Continuous ga chadivaa
Sowmya,Next ayipoindhi
Sowmya,Aagipoindhi*
Sowmya,11 kadhu ll
SINHA,Mari ala appakudadhu ga
Sowmya,Aapakoodadhu
Sowmya,Appudappudu chaduvutha anthey
SINHA,Start cheystava malli
Sowmya,Haa chesthee
Sowmya,1st nunche malli
Sowmya,Continue cheyanu
Sowmya,Ila 3rd time anukunta
Sowmya,Starting nunchi chaduvutha madhyalo aagipoidhi
SINHA,Okasari bayataki kaipinchu
SINHA,Baga cheptha
Sowmya,Vadhu vadhulee
SINHA,Aa taravta ela aputavo chusta
Sowmya,Em chepthav
SINHA,Chepthaa
Sowmya,Sare sare vadhulee
Sowmya,Ela vundhi ante ento thidathav annatlu vundhi naku
SINHA,Hmm but harsh ga matladata
Sowmya,Maa motherr roju mng night chestharuu
SINHA,Aa tarvata nee eestam
Sowmya,😐
Sowmya,Sarele vadhu anna gaa
SINHA,Haa
Sowmya,Tq
SINHA,Alaavatu cheysuko sowmya
SINHA,Entha time mobile tho vuntunav ga kasepu adhi pakkana petti
Sowmya,Sare sare saree
Sowmya,Thine mundhu kooda prayer chesukune habbit ledhu naku
Sowmya,Ne daggara choosa
SINHA,Chaduvukoni paduko.... Chaduvukoni day start chei
Sowmya,Maa mother daggara kooda choosanu le
SINHA,Entha ka mundhu la kakunda chaala peaceful ga vuntundhi
Sowmya,Nee daggara choosina tharuvatha monna oka sari try chesa
Sowmya,Malli next day marchipoya
Sowmya,Ippduuu kooda baga peaceful gane sinha
Sowmya,Aina chesukunta leee
Sowmya,Don't get angry
Sowmya,Sare sarele edoka reply ivvu
Sowmya,Silent ga vundamaku
SINHA,Ippudu peaceful ganey vunna antava?
Sowmya,😐
SINHA,Ok gud but alaa vunanduku thanks ane prayer cheysukoni paduko
SINHA,It will be more meaningful
Sowmya,Sare sare
SINHA,Hmm
Sowmya,Sare marii
SINHA,Haa
SINHA,Padukontunaa
Sowmya,Nuvva
SINHA,Haaa
Sowmya,Nenu vadhu ante emanna aaguthava
SINHA,Nv kadha?
Sowmya,Padukunta
SINHA,Ok mari
SINHA,Paduko
Sowmya,Hmm
Sowmya,Good night
SINHA,Gud night
SINHA,Sowmyaa
Sowmya,Ha
SINHA,Ekkada
Sowmya,Class lo
SINHA,Appudey vacheysava
SINHA,Sare records techava?
Sowmya,10 ke vachanu nenu
Sowmya,Intlo vunte waste le ani
Sowmya,Ha
SINHA,Index pettu
SINHA,Oh okk
Sowmya,Ekkada vunnav
Sowmya,<Media omitted>
SINHA,Room lo vastuna
SINHA,DwDm kuda
Sowmya,Adhii print theeyincha
SINHA,Sare pampu
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
SINHA,Dates?
Sowmya,Aviii
Sowmya,Dentlono rasanu
Sowmya,Gurthu ledhu🤭
SINHA,Twaraga pettu
SINHA,Konchem
Sowmya,Heyy levu
Sowmya,Sare aagu
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,Emanna kanipinchi ardham aithe rasuko
SINHA,"Tnq...very much, 😒😒"
Sowmya,🤣🤣🤣
SINHA,Sowmyaa
SINHA,Ekkada varaku teesuku vellaru?
Sowmya,Entidhi
SINHA,Vishnu valla father
Sowmya,Haa
Sowmya,Bus stand daggara drop chestharu
SINHA,Ha okk
Sowmya,Hmm
SINHA,Hmm .... Thanks for the biscuit too
Sowmya,Welcom welcome
SINHA,Ha
Sowmya,Nadhi ayipoindhi presentation 😮‍💨
SINHA,Avunaa
SINHA,Ippudu evaru cheptunaru... 😐
Sowmya,31 i think
SINHA,😯
SINHA,Cheppali ga
Sowmya,Nee number ayipoye vuntadhji
Sowmya,Nakem thelusu nv chepthav aniii
SINHA,Evaru cheppina parleydaa
Sowmya,Ante numbers order ga pilustharuu
Sowmya,Needhi ayipoye vuntadhii
SINHA,Ok next class ppt
SINHA,Prepare cheysey sowmyaa
Sowmya,Entii
SINHA,Class lo leva nv?
Sowmya,Indhaka left ayyanu
Sowmya,Next classs lo cheppochu anta ler
Sowmya,Next class lo cheppu nv
SINHA,Ha nenu adega madam ni
Sowmya,Oho
Sowmya,Nice nice
SINHA,Ha
Sowmya,Match Miss ayyanu sinhaaaa
Sowmya,Asaluu nadhi ayipoganee start chesa choodaadamm
SINHA,Oh avuna match aipoyindhaa
Sowmya,Last 3 overs choosaaaa
Sowmya,Kani bagaa enjoyed hardik pandya vunnadu kabatti
SINHA,Ohh okk
Sowmya,Sare mari thinali
Sowmya,Thinnava
SINHA,Ha just now
SINHA,Thinu thinu
Sowmya,Ok
Sowmya,Rava clg ki
Sowmya,Naadhi yellow colour record madam daggare vundhi...
Sowmya,Samee colour ichav
Sowmya,Tqqq😁
SINHA,Fav aa??
Sowmya,Haa
Sowmya,Yellow and orange naa fac colours
